NFResNet50V1:
36: {'thres': 0.3459, 'F1': 0.6036, 'F2': 0.6036, 'MCC': 0.5996, 'A': 0.9921, 'R': 0.6036, 'P': 0.6036}
41: {'thres': 0.3480, 'F1': 0.6061, 'F2': 0.6060, 'MCC': 0.6021, 'A': 0.9922, 'R': 0.6059, 'P': 0.6062}
45: {'thres': 0.3458, 'F1': 0.6082, 'F2': 0.6082, 'MCC': 0.6043, 'A': 0.9922, 'R': 0.6082, 'P': 0.6083}
48: {'thres': 0.3473, 'F1': 0.6080, 'F2': 0.6080, 'MCC': 0.6041, 'A': 0.9922, 'R': 0.6079, 'P': 0.6081}
52: {'thres': 0.3485, 'F1': 0.6081, 'F2': 0.6081, 'MCC': 0.6042, 'A': 0.9922, 'R': 0.6080, 'P': 0.6082}
58: {'thres': 0.3474, 'F1': 0.6097, 'F2': 0.6097, 'MCC': 0.6058, 'A': 0.9922, 'R': 0.6097, 'P': 0.6097}
60: {'thres': 0.3485, 'F1': 0.6097, 'F2': 0.6096, 'MCC': 0.6058, 'A': 0.9923, 'R': 0.6096, 'P': 0.6098}
66: {'thres': 0.3358, 'F1': 0.6000, 'F2': 0.5999, 'MCC': 0.5960, 'A': 0.9921, 'R': 0.5998, 'P': 0.6001}
68: {'thres': 0.3423, 'F1': 0.6000, 'F2': 0.6000, 'MCC': 0.5960, 'A': 0.9921, 'R': 0.6000, 'P': 0.6001}
71: {'thres': 0.3471, 'F1': 0.6099, 'F2': 0.6098, 'MCC': 0.6060, 'A': 0.9923, 'R': 0.6097, 'P': 0.6100}
75: {'thres': 0.3489, 'F1': 0.6106, 'F2': 0.6105, 'MCC': 0.6067, 'A': 0.9923, 'R': 0.6104, 'P': 0.6107}
77: {'thres': 0.3489, 'F1': 0.5965, 'F2': 0.5965, 'MCC': 0.5925, 'A': 0.9920, 'R': 0.5965, 'P': 0.5966}
81: {'thres': 0.3398, 'F1': 0.5992, 'F2': 0.5992, 'MCC': 0.5952, 'A': 0.9920, 'R': 0.5991, 'P': 0.5993}
83: {'thres': 0.3469, 'F1': 0.5977, 'F2': 0.5977, 'MCC': 0.5937, 'A': 0.9920, 'R': 0.5977, 'P': 0.5977}
88: {'thres': 0.3471, 'F1': 0.6014, 'F2': 0.6013, 'MCC': 0.5974, 'A': 0.9921, 'R': 0.6013, 'P': 0.6015}
92: {'thres': 0.3482, 'F1': 0.6108, 'F2': 0.6108, 'MCC': 0.6069, 'A': 0.9923, 'R': 0.6108, 'P': 0.6108}
96: {'thres': 0.3487, 'F1': 0.6128, 'F2': 0.6128, 'MCC': 0.6089, 'A': 0.9923, 'R': 0.6128, 'P': 0.6128}
100:{'thres': 0.3485, 'F1': 0.6133, 'F2': 0.6133, 'MCC': 0.6094, 'A': 0.9923, 'R': 0.6133, 'P': 0.6133}
