tag_id,name,category,count
476621,floral_print,0,43984
2689,formal,0,43747
1393877,feet_out_of_frame,0,43723
547073,underwear_only,0,43597
6059,blazer,0,43296
488167,scrunchie,0,43214
477028,cleavage_cutout,0,43145
356542,sunlight,0,43109
221,school_swimsuit,0,43071
12248,remilia_scarlet,4,43041
420366,from_below,0,42896
413672,leg_up,0,42892
1433237,arknights,3,42753
415974,looking_down,0,42650
15737,bat_wings,0,42349
5831,katana,0,42002
431235,knee_boots,0,41897
3875,sleeping,0,41884
3209,table,0,41835
709734,playboy_bunny,0,41734
534835,hair_intakes,0,41451
13227,happy,0,41419
375476,soles,0,41410
389777,red_dress,0,41385
466990,;d,0,41251
584749,pink_background,0,41240
387991,abs,0,41053
421662,5girls,0,40811
464588,hat_ribbon,0,40792
1515536,official_alternate_costume,0,40707
582201,mob_cap,0,40677
1665885,girls'_frontline,3,40449
413179,trembling,0,40229
379915,stuffed_animal,0,40166
12314,izayoi_sakuya,4,40141
463179,no_shoes,0,39956
465810,squatting,0,39944
5524,sunglasses,0,39902
1936,crossover,0,39901
516477,outstretched_arms,0,39899
612641,black_shorts,0,39626
3649,helmet,0,39615
688777,half-closed_eyes,0,39514
14814,couple,0,39429
1367103,upper_teeth,0,39423
385639,wolf_ears,0,39418
7952,suspenders,0,39117
465525,crossed_legs,0,39064
459291,standing_on_one_leg,0,39062
6128,cardigan,0,39048
1382794,black_choker,0,38971
464574,polka_dot,0,38925
16700,>_<,0,38916
464822,precure,3,38780
9114,antenna_hair,0,38726
511136,border,0,38720
1556,backpack,0,38532
4188,crown,0,38456
4526,cross,0,38316
494115,younger,0,38304
487156,3boys,0,38284
575982,light_smile,0,38112
12249,flandre_scarlet,4,38092
4474,fire,0,38072
3949,ring,0,38000
539837,high_ponytail,0,37919
4850,lipstick,0,37828
464539,bug,0,37798
452195,hair_bobbles,0,37722
468534,light_brown_hair,0,37634
7525,final_fantasy,3,37631
464903,crying,0,37508
464565,knife,0,37470
429999,tiara,0,37294
3239,cellphone,0,37154
10833,bottle,0,37033
1288957,white_footwear,0,37022
8068,demon_girl,0,37007
487205,cloudy_sky,0,36985
7455,tank_top,0,36982
643561,eyes_visible_through_hair,0,36931
534982,^^^,0,36809
219401,denim,0,36606
492544,frilled_dress,0,36542
563478,dark-skinned_male,0,36475
2328,polearm,0,36265
6364,grass,0,36163
487562,wing_collar,0,36110
445388,bob_cut,0,36097
514890,black_pants,0,36054
10229,suit,0,35926
4831,piercing,0,35903
517832,outstretched_arm,0,35811
520398,white_skirt,0,35731
